location_id,location_name,state,district,latitude,longitude,nearest_node,mapping_method,coordinate_status
LOC0001,Tawang,Arunachal Pradesh,Tawang,27.59,93.4,N0001,district-match,SYNTHETIC_PROTOTYPE
LOC0002,West Kameng,Arunachal Pradesh,West Kameng,27.77,93.4,N0007,district-match,SYNTHETIC_PROTOTYPE
LOC0003,East Kameng,Arunachal Pradesh,East Kameng,27.95,93.4,N0006,district-match,SYNTHETIC_PROTOTYPE
LOC0004,Papum Pare,Arunachal Pradesh,Papum Pare,28.13,93.4,N0004,state-fallback,SYNTHETIC_PROTOTYPE
LOC0005,Lower Subansiri,Arunachal Pradesh,Lower Subansiri,28.31,93.4,N0002,district-match,SYNTHETIC_PROTOTYPE
LOC0006,Upper Subansiri,Arunachal Pradesh,Upper Subansiri,27.59,93.62,N0004,district-match,SYNTHETIC_PROTOTYPE
LOC0007,East Siang,Arunachal Pradesh,East Siang,27.77,93.62,N0007,state-fallback,SYNTHETIC_PROTOTYPE
LOC0008,West Siang,Arunachal Pradesh,West Siang,27.95,93.62,N0012,district-match,SYNTHETIC_PROTOTYPE
LOC0009,Upper Siang,Arunachal Pradesh,Upper Siang,28.13,93.62,N0009,state-fallback,SYNTHETIC_PROTOTYPE
LOC0010,Lohit,Arunachal Pradesh,Lohit,28.31,93.62,N0010,state-fallback,SYNTHETIC_PROTOTYPE
LOC0011,Anjaw,Arunachal Pradesh,Anjaw,27.59,93.84,N0011,state-fallback,SYNTHETIC_PROTOTYPE
LOC0012,Changlang,Arunachal Pradesh,Changlang,27.77,93.84,N0012,state-fallback,SYNTHETIC_PROTOTYPE
LOC0013,Tirap,Arunachal Pradesh,Tirap,27.95,93.84,N0015,district-match,SYNTHETIC_PROTOTYPE
LOC0014,Longding,Arunachal Pradesh,Longding,28.13,93.84,N0014,district-match,SYNTHETIC_PROTOTYPE
LOC0015,Namsai,Arunachal Pradesh,Namsai,28.31,93.84,N0009,district-match,SYNTHETIC_PROTOTYPE
LOC0016,Kamrup Metropolitan,Assam,Kamrup Metropolitan,25.84,92.72,N0023,district-match,SYNTHETIC_PROTOTYPE
LOC0017,Kamrup,Assam,Kamrup,26.02,92.72,N0019,state-fallback,SYNTHETIC_PROTOTYPE
LOC0018,Sonitpur,Assam,Sonitpur,26.2,92.72,N0020,state-fallback,SYNTHETIC_PROTOTYPE
LOC0019,Biswanath,Assam,Biswanath,26.38,92.72,N0021,state-fallback,SYNTHETIC_PROTOTYPE
LOC0020,Lakhimpur,Assam,Lakhimpur,26.56,92.72,N0028,district-match,SYNTHETIC_PROTOTYPE
LOC0021,Dhemaji,Assam,Dhemaji,25.84,92.94,N0019,district-match,SYNTHETIC_PROTOTYPE
LOC0022,Dibrugarh,Assam,Dibrugarh,26.02,92.94,N0025,state-fallback,SYNTHETIC_PROTOTYPE
